Website,Agency,Bureau,Subcomponent
calm.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fleetautoauctions.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
api-alpha.sam.gov,General Services Administration,"GSA, FAS, System for Award Management",
ret.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
ithelp.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
rap.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
services.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
usmcservmart.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
statspolicy.gov,General Services Administration,General Services Administration ,
go.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
compliance-viewer.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
login.acquisition.gov,General Services Administration,"GSA, IC, Acquisition",
api.benefits.gov,General Services Administration,Office of the Chief Information Officer,
cloud.cio.gov,General Services Administration,"GSA, CIO.GOV",
citizenscience.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
reginfo.gov,General Services Administration,"GSA, IC, ROCIS",
presidentialinnovationfellows.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
sbst.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
challenge.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
fsd.gov,General Services Administration,"GSA, IQ-FSD-FSD Portal",
atf-eregs.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
training.rocis.gov,General Services Administration,"GSA, IC, ROCIS",
air663.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
cobra.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pfabankui-d.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
realpropertyprofile.gov,General Services Administration,"GSA, IDI,EAS",
analytics.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
mia-django-develop.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
mywaterway-prod.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pfabankfindui.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
regulations.gov,General Services Administration,"GSA, IQ, eRulemaking",
section508.gov,General Services Administration,"GSA, IC, OGP Web Portfolio",
prod-onrr-frontend.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pfabankapi-d.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
facadatabase.gov,General Services Administration,"GSA, IDI, Enterprise Application Services",
beta.fpds.gov,General Services Administration,"GSA, IQ-FPDS-FPDS Portal",
mobile.reginfo.gov,General Services Administration,"GSA, IC, ROCIS",
airnow-green.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
search.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
cdo.gov,General Services Administration,General Services Administration,
connect.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
eis-public-pricer.eos.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
620forecasts.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pfabankfindui-q.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
cops.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fmswsec.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
drivethru.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
realestatesales.gov,General Services Administration,"GSA, FAS, SASy",
acquisitiongateway.gov,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",
digitalcorps.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
pfabankapi-n.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
brand.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
atf-eregs.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
fleetsso.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
400yaahc.gov,General Services Administration,400 Years of African American History Commission,
eng-hiring.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
ux-guide.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
methods.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
engineering.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
itvmo.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
disposal.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
crt-portal-django-prod.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
mia-django-main.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
lookforwatersense-prod.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
r06.anywhere.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
identityequitystudy.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
mcm.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
